txn_id,ts,store_id,product_sku,product_name,qty,amount_krw,payment_method,status
T100000,2026-05-12T09:17:15,SEL-001,LNZ-002,립 슬리핑 마스크 베리 20g,1,-24000,naver_pay,REFUND
T100001,2026-05-12T11:27:02,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,35000,naver_pay,OK
T100002,2026-05-12T09:12:45,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,cash,OK
T100003,2026-05-12T17:51:55,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,35000,cash,OK
T100004,2026-05-12T14:09:13,SEL-001,ASR-001,설화수 자음생크림 60ml,1,0,card,STOCK_SHORTAGE
T100005,2026-05-12T14:22:38,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,2,156000,naver_pay,OK
T100006,2026-05-12T12:59:24,SEL-001,INF-003,화산송이 모공 마스크 100ml,1,12000,naver_pay,OK
T100007,2026-05-12T20:23:36,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,0,samsung_pay,POS_DOWN
T100008,2026-05-12T19:05:54,SEL-001,LNZ-002,립 슬리핑 마스크 베리 20g,2,48000,cash,OK
T100009,2026-05-12T18:23:10,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,1,38000,card,OK
T100010,2026-05-12T17:10:34,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,kakao_pay,OK
T100011,2026-05-12T22:40:44,SEL-001,ETD-006,픽싱 틴트 #장미,1,14000,card,OK
T100012,2026-05-12T13:02:51,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,0,naver_pay,PAYMENT_FAIL
T100013,2026-05-12T20:20:13,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,cash,OK
T100014,2026-05-12T12:08:15,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,naver_pay,OK
T100015,2026-05-12T15:37:25,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,1,38000,naver_pay,OK
T100016,2026-05-12T16:48:03,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,cash,OK
T100017,2026-05-12T17:24:24,SEL-001,ATM-002,이데알 글로우 비비크림,3,75000,naver_pay,OK
T100018,2026-05-12T20:00:43,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,kakao_pay,OK
T100019,2026-05-12T19:21:07,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,kakao_pay,OK
T100020,2026-05-12T22:48:11,SEL-001,ETD-005,수분 톤업 베이스 핑크,2,32000,kakao_pay,OK
T100021,2026-05-12T20:32:38,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,naver_pay,OK
T100022,2026-05-12T21:59:33,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,1,18000,card,OK
T100023,2026-05-12T11:23:56,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,2,156000,samsung_pay,OK
T100024,2026-05-12T20:05:05,SEL-001,ATM-006,솝베리 클렌징 오일,1,0,naver_pay,PAYMENT_FAIL
T100025,2026-05-12T19:08:42,SEL-001,ETD-004,드로잉 아이브로우 자동연필,2,9000,naver_pay,OK
T100026,2026-05-12T20:27:13,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,1,18000,samsung_pay,OK
T100027,2026-05-12T18:25:42,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,cash,OK
T100028,2026-05-12T11:14:04,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,naver_pay,OK
T100029,2026-05-12T13:04:45,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,0,card,PAYMENT_FAIL
T100030,2026-05-12T20:04:32,SEL-001,LNZ-002,립 슬리핑 마스크 베리 20g,1,24000,naver_pay,OK
T100031,2026-05-12T12:59:56,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,cash,OK
T100032,2026-05-12T19:12:06,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,cash,OK
T100033,2026-05-12T16:46:03,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,1,18000,card,OK
T100034,2026-05-12T15:21:51,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,naver_pay,OK
T100035,2026-05-12T16:27:11,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,78000,card,OK
T100036,2026-05-12T15:55:54,SEL-001,ETD-006,픽싱 틴트 #장미,1,14000,naver_pay,OK
T100037,2026-05-12T20:05:59,SEL-001,ASR-001,설화수 자음생크림 60ml,2,470000,cash,OK
T100038,2026-05-12T16:55:25,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,cash,OK
T100039,2026-05-12T13:50:50,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,naver_pay,OK
T100040,2026-05-12T18:31:09,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,naver_pay,OK
T100041,2026-05-12T19:03:47,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,naver_pay,OK
T100042,2026-05-12T21:33:10,SEL-001,INF-002,레티놀 시카 흔적 앰플 30ml,3,0,samsung_pay,STOCK_SHORTAGE
T100043,2026-05-12T10:04:43,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,0,naver_pay,TERMINAL_TIMEOUT
T100044,2026-05-12T13:38:02,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,naver_pay,OK
T100045,2026-05-12T17:59:16,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,kakao_pay,OK
T100046,2026-05-12T15:42:41,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,card,OK
T100047,2026-05-12T09:39:36,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,kakao_pay,OK
T100048,2026-05-12T12:22:56,SEL-001,INF-003,화산송이 모공 마스크 100ml,2,24000,samsung_pay,OK
T100049,2026-05-12T15:34:45,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,naver_pay,OK
T100050,2026-05-12T09:52:35,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,2,-84000,samsung_pay,REFUND
T100051,2026-05-12T13:56:06,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,naver_pay,OK
T100052,2026-05-12T12:21:13,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,1,18000,cash,OK
T100053,2026-05-12T13:58:54,SEL-001,INF-002,레티놀 시카 흔적 앰플 30ml,1,42000,kakao_pay,OK
T100054,2026-05-12T10:21:49,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,cash,OK
T100055,2026-05-12T17:27:35,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,35000,samsung_pay,OK
T100056,2026-05-12T17:53:23,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,card,OK
T100057,2026-05-12T14:57:59,SEL-001,ASR-002,설화수 윤조에센스 90ml,3,0,kakao_pay,POS_DOWN
T100058,2026-05-12T12:15:42,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,cash,OK
T100059,2026-05-12T22:47:09,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,2,36000,samsung_pay,OK
T100060,2026-05-12T20:01:11,SEL-001,ATM-006,솝베리 클렌징 오일,2,38000,cash,OK
T100061,2026-05-12T19:55:47,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,card,OK
T100062,2026-05-12T15:02:54,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,cash,OK
T100063,2026-05-12T14:52:50,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,0,samsung_pay,POS_DOWN
T100064,2026-05-12T15:17:55,SEL-001,INF-003,화산송이 모공 마스크 100ml,3,36000,naver_pay,OK
T100065,2026-05-12T15:53:34,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,2,0,kakao_pay,TERMINAL_TIMEOUT
T100066,2026-05-12T12:16:02,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,kakao_pay,OK
T100067,2026-05-12T15:32:07,SEL-001,ETD-001,비비 매직 파운데이션 SPF50,2,36000,card,OK
T100068,2026-05-12T18:00:33,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,2,36000,samsung_pay,OK
T100069,2026-05-12T14:04:42,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,1,18000,card,OK
T100070,2026-05-12T19:19:32,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,kakao_pay,OK
T100071,2026-05-12T17:12:26,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,2,36000,samsung_pay,OK
T100072,2026-05-12T18:19:25,SEL-001,ETD-006,픽싱 틴트 #장미,2,28000,samsung_pay,OK
T100073,2026-05-12T15:37:38,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,samsung_pay,OK
T100074,2026-05-12T16:50:57,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,kakao_pay,OK
T100075,2026-05-12T17:40:39,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,samsung_pay,OK
T100076,2026-05-12T18:14:51,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,0,cash,POS_DOWN
T100077,2026-05-12T17:49:04,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,samsung_pay,OK
T100078,2026-05-12T19:24:31,SEL-001,ETD-001,비비 매직 파운데이션 SPF50,1,18000,card,OK
T100079,2026-05-12T20:55:49,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,samsung_pay,OK
T100080,2026-05-12T19:44:33,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,card,OK
T100081,2026-05-12T16:51:29,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,1,18000,kakao_pay,OK
T100082,2026-05-12T21:57:28,SEL-001,ATM-002,이데알 글로우 비비크림,2,50000,cash,OK
T100083,2026-05-12T20:35:28,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,cash,OK
T100084,2026-05-12T13:15:53,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,cash,OK
T100085,2026-05-12T18:17:28,SEL-001,INF-003,화산송이 모공 마스크 100ml,1,12000,kakao_pay,OK
T100086,2026-05-12T14:34:05,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,samsung_pay,OK
T100087,2026-05-12T18:04:26,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,card,OK
T100088,2026-05-12T12:26:24,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,card,OK
T100089,2026-05-12T20:48:36,SEL-001,ETD-001,비비 매직 파운데이션 SPF50,1,18000,kakao_pay,OK
T100090,2026-05-12T19:54:57,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,naver_pay,OK
T100091,2026-05-12T19:57:14,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,card,OK
T100092,2026-05-12T15:42:43,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,cash,OK
T100093,2026-05-12T21:39:34,SEL-001,INF-001,그린티 씨드 세럼 80ml,2,70000,card,OK
T100094,2026-05-12T11:27:08,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,0,cash,PAYMENT_FAIL
T100095,2026-05-12T14:29:20,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,cash,OK
T100096,2026-05-12T13:05:30,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,0,kakao_pay,PAYMENT_FAIL
T100097,2026-05-12T13:04:49,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,0,samsung_pay,POS_DOWN
T100098,2026-05-12T12:01:39,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,card,OK
T100099,2026-05-12T17:13:29,SEL-001,ATM-005,립 페인트 매트 #누드코랄,1,12000,naver_pay,OK
